股票名称,股票代码,今开,成交量,最高,涨停,内盘,成交额,委比,流通市值,市盈率MRQ,每股收益,总股本,昨收,换手率,最低,跌停,外盘,振幅,量比,总市值,市净率,每股净资产,流通股本
中直股份,sh600038,49.8,3.46万手,49.88,54.73,1.89万手,1.71亿,22.87%,292.68亿,66.64,0.75,5.89亿,49.75,0.59%,49.21,"
                        44.77",1.57万手,1.35%,1.28,292.68亿,4.27,11.64,5.89亿
四川路桥,sh600039,5.08,39.17万手,5.09,5.58,22.46万手,1.98亿,-68.58%,153.10亿,19.97,0.19,30.20亿,5.07,1.30%,5,"
                        4.56",16.71万手,1.78%,1.61,153.10亿,1.69,3,30.20亿
保利地产,sh600048,9.68,50.67万手,9.72,10.62,26.33万手,4.89亿,-42.60%,1041.52亿,12.11,0.6,118.58亿,9.65,0.47%,9.54,"
                        8.68",24.34万手,1.87%,1.59,1147.90亿,1.37,7.09,107.60亿
中国联通,sh600050,7.83,254.92万手,7.85,8.57,117.59万手,19.75亿,0.82%,1623.66亿,1053.82,0.01,211.97亿,7.79,1.20%,7.62,"
                        7.01",137.32万手,2.95%,0.93,1623.66亿,2.09,3.66,211.97亿
宁波联合,sh600051,13.1,4.09万手,13.12,14.41,2.03万手,5296.61万,-15.65%,39.91亿,31.03,0.31,3.11亿,13.1,1.33%,12.83,"
                        11.79",2.06万手,2.21%,0.53,40.35亿,2.06,6.3,3.07亿
浙江广厦,sh600052,6.75,8.65万手,6.77,7.45,5.70万手,5800.51万,-10.95%,58.76亿,16.44,0.41,8.72亿,6.77,0.99%,6.6,"
                        6.09",2.95万手,2.51%,0.54,58.76亿,2.87,2.35,8.72亿
九鼎投资,sh600053,41.85,1.33万手,42.18,46.15,8175手,5579.60万,15.45%,181.83亿,49.7,0.63,4.34亿,41.95,0.31%,41.5,"
                        37.76",5163手,1.62%,0.28,181.83亿,12.78,3.28,4.34亿
黄山旅游,sh600054,17.78,3.84万手,17.87,19.56,2.04万手,6799.15万,14.56%,90.70亿,30.37,0.44,7.47亿,17.78,0.75%,17.56,"
                        16.00",1.81万手,1.74%,0.42,132.05亿,4.11,4.3,5.13亿
万东医疗,sh600055,17.06,2.34万手,17.17,18.77,1.07万手,3985.67万,-41.33%,59.43亿,110.69,0.12,3.86亿,17.06,0.67%,16.91,"
                        15.35",1.27万手,1.52%,0.6,66.29亿,3.88,4.42,3.46亿
中国医药,sh600056,23.2,6.15万手,23.48,25.44,2.65万手,1.43亿,26.36%,236.43亿,25.1,0.74,10.68亿,23.13,0.61%,22.94,"
                        20.82",3.50万手,2.33%,1.26,249.60亿,3.54,6.61,10.12亿
象屿股份,sh600057,11.09,4.16万手,11.16,12.21,2.31万手,4620.03万,-30.41%,123.14亿,26.1,0.32,11.71亿,11.1,0.38%,11.02,"
                        9.99",1.85万手,1.26%,1.53,130.54亿,2.02,5.51,11.04亿
五矿发展,sh600058,14.76,4.46万手,14.85,16.2,2.41万手,6589.58万,-51.58%,158.75亿,398.38,0.03,10.72亿,14.73,0.42%,14.69,"
                        13.26",2.06万手,1.09%,0.45,158.75亿,3.17,4.67,10.72亿
古越龙山,sh600059,10.69,12.35万手,10.83,11.75,5.55万手,1.33亿,-67.33%,87.32亿,68.3,0.12,8.09亿,10.68,1.53%,10.64,"
                        9.61",6.80万手,1.78%,2.32,87.32亿,2.26,4.78,8.09亿
海信电器,sh600060,18.22,33.08万手,18.45,20.07,15.10万手,6.07亿,-37.26%,240.63亿,13.68,1.34,13.08亿,18.25,2.53%,18.2,"
                        16.43",17.98万手,1.37%,2.82,240.63亿,1.83,10.08,13.08亿
